Company Name,Avg Annual Salary,Avg Annual Base Salary,Avg Annual Bonus
Google,"$122,736","$100,600","$22,136"
Apple,"$171,857","$130,857","$41,000"
Netflix,"$127,770","$97,822","$29,947"
Meta,"$108,950","$97,167","$11,783"
Microsoft,"$154,030","$106,252","$47,778"
