Company Name,Avg Annual Salary,Avg Annual Base Salary,Avg Annual Bonus
ByteDance,"$156,222",-,-
Salesforce,"$144,850","$99,310","$45,540"
Paypal,"$145,351","$100,966","$44,385"
Ebay,"$122,828","$115,428","$7,400"
Wish,"$82,780",-,-
Pinterest,"$88,058",-,-
