Company Name,Avg Annual Salary,Avg Annual Base Salary,Avg Annual Bonus
Amazon,"$93,408","$73,158","$20,250"
Uber,"$97,000","$90,500","$6,500"
Lyft,"$115,000",-,-
Doordash,"$83,000",-,-
Linkedin,"$124,842","$110,667","$14,175"
